
16015.625000,-2.379,0.544,-75.196 
-132.812500,-765.625000,15859.375000,-2.368,0.538,-75.328 
-171.875000,-632.812500,15562.500000,-2.373,0.538,-75.328 
-242.187500,-632.812500,16296.875000,-2.362,0.544,-75.328 
-70.312500,-648.437500,16187.500000,-2.362,0.538,-75.328 
-23.437500,-703.125000,15828.125000,-2.368,0.533,-75.328 
-273.437500,-718.750000,15812.500000,-2.373,0.544,-75.328 
-171.875000,-703.125000,16140.625000,-2.368,0.538,-75.328 
54.687500,-640.625000,16140.625000,-2.362,0.538,-75.328 
-148.437500,-750.000000,15968.750000,-2.373,0.538,-75.328 
-156.250000,-710.937500,15820.312500,-2.379,0.544,-75.328 
-46.875000,-656.250000,15937.500000,-2.362,0.538,-75.328 
-70.312500,-648.437500,16289.062500,-2.362,0.538,-75.328 
-156.250000,-742.187500,16062.500000,-2.373,0.538,-75.328 
-148.437500,-757.812500,15664.062500,-2.373,0.538,-75.328 
-218.750000,-656.250000,16015.625000,-2.368,0.538,-75.328 
-140.625000,-656.250000,16437.500000,-2.368,0.538,-75.328 
-23.437500,-726.562500,15828.125000,-2.373,0.538,-75.328 
-164.062500,-726.562500,15671.875000,-2.373,0.544,-75.328 
-187.500000,-703.125000,16070.312500,-2.368,0.538,-75.328 
0.000000,-679.687500,16109.375000,-2.362,0.538,-75.328 
-54.687500,-695.312500,15890.625000,-2.368,0.538,-75.328 
-250.000000,-773.437500,15875.000000,-2.373,0.544,-75.328 
-132.812500,-710.937500,15812.500000,-2.373,0.538,-75.328 
-15.625000,-632.812500,16156.250000,-2.362,0.538,-75.328 
-125.000000,-750.000000,16171.875000,-2.373,0.538,-75.328 
-156.250000,-750.000000,15710.937500,-2.379,0.538,-75.328 
-78.125000,-687.500000,15796.875000,-2.368,0.538,-75.328 
-250.000000,-625.000000,16312.500000,-2.368,0.544,-75.328 
-78.125000,-664.062500,16078.125000,-2.373,0.538,-75.328 
-93.750000,-703.125000,15734.375000,-2.379,0.538,-75.328 
-320.312500,-664.062500,15914.062500,-2.373,0.544,-75.328 
-125.000000,-695.312500,16328.125000,-2.368,0.538,-75.328 
-23.437500,-710.937500,16000.000000,-2.373,0.538,-75.328 
-257.812500,-718.750000,15867.187500,-2.379,0.544,-75.328 
-171.875000,-664.062500,15921.875000,-2.373,0.538,-75.328 
-7.812500,-632.812500,16023.437500,-2.368,0.538,-75.328 
-101.562500,-726.562500,16046.875000,-2.373,0.538,-75.328 
-187.500000,-750.000000,15867.187500,-2.379,0.544,-75.328 
-101.562500,-671.875000,15687.500000,-2.373,0.538,-75.328 
-140.625000,-640.625000,16148.437500,-2.368,0.538,-75.328 
-140.625000,-664.062500,16226.562500,-2.373,0.538,-75.328 
-125.000000,-765.625000,15734.375000,-2.379,0.538,-75.328 
-234.375000,-695.312500,15781.250000,-2.373,0.538,-75.328 
-203.125000,-625.000000,16281.250000,-2.368,0.538,-75.328 
-70.312500,-679.687500,16132.812500,-2.373,0.533,-75.328 
-156.250000,-695.312500,15796.875000,-2.379,0.538,-75.328 
-296.875000,-703.125000,15937.500000,-2.379,0.538,-75.328 
-125.000000,-695.312500,16085.937500,-2.368,0.533,-75.328 
-31.250000,-656.250000,16109.375000,-2.373,0.533,-75.328 
-140.625000,-773.437500,16062.500000,-2.379,0.538,-75.328 
-148.437500,-734.375000,15765.625000,-2.379,0.538,-75.328 
-125.000000,-640.625000,15984.375000,-2.368,0.538,-75.328 
-101.562500,-703.125000,16343.750000,-2.368,0.538,-75.328 
-46.875000,-742.187500,15890.625000,-2.379,0.538,-75.328 
-101.562500,-679.687500,15671.875000,-2.379,0.538,-75.328 
-218.750000,-679.687500,16164.062500,-2.373,0.538,-75.328 
-85.937500,-703.125000,16195.312500,-2.373,0.533,-75.328 
-70.312500,-687.500000,15804.687500,-2.379,0.538,-75.328 
-273.437500,-710.937500,15890.625000,-2.379,0.544,-75.328 
-132.812500,-640.625000,16148.437500,-2.373,0.538,-75.328 
46.875000,-687.500000,16062.500000,-2.373,0.533,-75.328 
-195.312500,-726.562500,16000.000000,-2.384,0.538,-75.328 
-218.750000,-750.000000,15828.125000,-2.379,0.538,-75.328 
-109.375000,-656.250000,15937.500000,-2.373,0.538,-75.328 
-125.000000,-664.062500,16281.250000,-2.373,0.538,-75.328 
-164.062500,-726.562500,15976.562500,-2.379,0.538,-75.328 
-125.000000,-687.500000,15679.687500,-2.379,0.538,-75.328 
-226.562500,-664.062500,15960.937500,-2.373,0.538,-75.328 
-70.312500,-671.875000,16429.687500,-2.373,0.538,-75.328 
-15.625000,-773.437500,15781.250000,-2.379,0.538,-75.328 
-195.312500,-742.187500,15789.062500,-2.379,0.538,-75.328 
-242.187500,-695.312500,16164.062500,-2.368,0.538,-75.328 
-39.062500,-632.812500,16085.937500,-2.368,0.533,-75.328 
-132.812500,-679.687500,15984.375000,-2.379,0.538,-75.328 
-265.625000,-726.562500,15835.937500,-2.379,0.538,-75.328 
-101.562500,-671.875000,15882.812500,-2.373,0.538,-75.328 
-117.187500,-593.750000,16148.437500,-2.368,0.538,-75.328 
-171.875000,-648.437500,16226.562500,-2.379,0.538,-75.328 
-164.062500,-734.375000,15710.937500,-2.379,0.538,-75.328 
-171.875000,-632.812500,15828.125000,-2.373,0.538,-75.328 
-156.250000,-671.875000,16312.500000,-2.368,0.538,-75.328 
-85.937500,-695.312500,15742.187500,-2.379,0.538,-75.328 
-296.875000,-640.625000,15796.875000,-2.379,0.538,-75.328 
-226.562500,-632.812500,16273.437500,-2.373,0.544,-75.328 
-46.875000,-632.812500,16101.562500,-2.368,0.538,-75.328 
-179.687500,-679.687500,15929.687500,-2.373,0.538,-75.328 
-304.687500,-703.125000,15828.125000,-2.379,0.544,-75.328 
-125.000000,-625.000000,15960.937500,-2.373,0.538,-75.328 
-117.187500,-570.312500,16218.750000,-2.368,0.538,-75.328 
-242.187500,-710.937500,16054.687500,-2.373,0.538,-75.328 
-132.812500,-734.375000,15828.125000,-2.379,0.544,-75.328 
-132.812500,-625.000000,15968.750000,-2.379,0.538,-75.328 
-132.812500,-687.500000,16382.812500,-2.368,0.538,-75.328 
-101.562500,-648.437500,15968.750000,-2.373,0.538,-75.328 
-125.000000,-695.312500,15664.062500,-2.379,0.538,-75.328 
-210.937500,-632.812500,16046.875000,-2.373,0.544,-75.328 
-101.562500,-687.500000,16234.375000,-2.368,0.538,-75.328 
-117.187500,-671.875000,15859.375000,-2.373,0.538,-75.328 
-312.500000,-687.500000,15945.312500,-2.379,0.538,-75.328 
-203.125000,-648.437500,16023.437500,-2.379,0.538,-75.328 
-132.812500,-593.750000,16070.312500,-2.368,0.538,-75.328 
-234.375000,-640.625000,16210.937500,-2.373,0.538,-75.328 
-250.000000,-710.937500,15867.187500,-2.384,0.538,-75.328 
-179.687500,-632.812500,15687.500000,-2.373,0.538,-75.328 
-171.875000,-593.750000,16390.625000,-2.368,0.538,-75.328 
-109.375000,-710.937500,16171.875000,-2.373,0.538,-75.328 
-39.062500,-679.687500,15632.812500,-2.379,0.538,-75.328 
-250.000000,-703.125000,16000.000000,-2.373,0.544,-75.328 
-156.250000,-648.437500,16289.062500,-2.368,0.538,-75.328 
31.250000,-640.625000,15976.562500,-2.373,0.538,-75.328 
-242.187500,-703.125000,15835.937500,-2.379,0.544,-75.328 
-242.187500,-648.437500,16031.250000,-2.373,0.538,-75.328 
-23.437500,-640.625000,16101.562500,-2.368,0.533,-75.328 
-132.812500,-664.062500,16078.125000,-2.373,0.538,-75.328 
-273.437500,-726.562500,16039.062500,-2.379,0.538,-75.328 
-125.000000,-695.312500,15781.250000,-2.373,0.538,-75.328 
-179.687500,-617.187500,16171.875000,-2.368,0.538,-75.328 
-210.937500,-679.687500,16320.312500,-2.373,0.538,-75.328 
-31.250000,-695.312500,15796.875000,-2.379,0.538,-75.328 
-218.750000,-664.062500,15765.625000,-2.373,0.538,-75.328 
-195.312500,-679.687500,16281.250000,-2.368,0.538,-75.328 
-46.875000,-671.875000,16039.062500,-2.373,0.533,-75.328 
-85.937500,-726.562500,15804.687500,-2.379,0.538,-75.328 
-296.875000,-695.312500,15898.437500,-2.373,0.538,-75.328 
-125.000000,-648.437500,16265.625000,-2.368,0.538,-75.328 
-54.687500,-656.250000,16062.500000,-2.368,0.533,-75.328 
-257.812500,-734.375000,16023.437500,-2.379,0.538,-75.328 
-203.125000,-718.750000,15875.000000,-2.373,0.538,-75.328 
-132.812500,-617.187500,15906.250000,-2.368,0.538,-75.328 
-164.062500,-664.062500,16367.187500,-2.373,0.538,-75.328 
-179.687500,-703.125000,15921.875000,-2.379,0.538,-75.328 
-140.625000,-679.687500,15734.375000,-2.379,0.538,-75.328 
-250.000000,-656.250000,16171.875000,-2.373,0.538,-75.328 
-156.250000,-687.500000,16328.125000,-2.373,0.538,-75.328 
-85.937500,-664.062500,15789.062500,-2.379,0.533,-75.328 
-304.687500,-648.437500,15906.250000,-2.379,0.538,-75.328 
-187.500000,-0.538,-75.328 
-62.500000,-656.250000,16085.937500,-2.373,0.533,-75.328 
-257.812500,-695.312500,15906.250000,-2.384,0.538,-75.328 
-218.750000,-710.937500,15867.187500,-2.379,0.538,-75.328 
-54.687500,-625.000000,15914.062500,-2.373,0.538,-75.328 
-109.375000,-632.812500,16140.625000,-2.373,0.538,-75.328 
-234.375000,-718.750000,15968.750000,-2.379,0.538,-75.328 
-156.250000,-703.125000,15687.500000,-2.379,0.538,-75.328 
-226.562500,-625.000000,16039.062500,-2.373,0.538,-75.328 
-218.750000,-601.562500,16335.937500,-2.373,0.538,-75.328 
-109.375000,-695.312500,15945.312500,-2.379,0.538,-75.328 
-226.562500,-671.875000,15742.187500,-2.379,0.538,-75.328 
-296.875000,-656.250000,16210.937500,-2.373,0.538,-75.328 
-109.375000,-617.187500,16242.187500,-2.373,0.533,-75.328 
-132.812500,-687.500000,15945.312500,-2.379,0.538,-75.328 
-234.375000,-687.500000,15859.375000,-2.384,0.544,-75.328 
-46.875000,-640.625000,16023.437500,-2.373,0.538,-75.328 
-101.562500,-664.062500,16203.125000,-2.373,0.538,-75.328 
-164.062500,-718.750000,16007.812500,-2.384,0.544,-75.328 
-179.687500,-703.125000,15734.375000,-2.384,0.544,-75.328 
-148.437500,-609.375000,16078.125000,-2.379,0.544,-75.328 
-156.250000,-679.687500,16289.062500,-2.379,0.538,-75.328 
-54.687500,-742.187500,15796.875000,-2.384,0.538,-75.328 
-195.312500,-664.062500,15609.375000,-2.390,0.544,-75.328 
-203.125000,-671.875000,16164.062500,-2.379,0.544,-75.328 
-54.687500,-679.687500,16007.812500,-2.379,0.544,-75.328 
-62.500000,-718.750000,15781.250000,-2.384,0.538,-75.328 
-312.500000,-703.125000,15875.000000,-2.390,0.549,-75.328 
-62.500000,-648.437500,15992.187500,-2.384,0.544,-75.328 
-93.750000,-601.562500,16109.375000,-2.379,0.538,-75.328 
-226.562500,-695.312500,16140.625000,-2.384,0.544,-75.328 
-210.937500,-679.687500,15773.437500,-2.390,0.544,-75.328 
-78.125000,-632.812500,15859.375000,-2.390,0.544,-75.328 
-203.125000,-687.500000,16367.187500,-2.379,0.544,-75.328 
-148.437500,-648.437500,15968.750000,-2.390,0.544,-75.328 
-125.000000,-718.750000,15703.125000,-2.395,0.538,-75.328 
-210.937500,-640.625000,16125.000000,-2.390,0.544,-75.328 
-109.375000,-679.687500,16320.312500,-2.384,0.544,-75.328 
-23.437500,-710.937500,15921.875000,-2.390,0.538,-75.328 
-242.187500,-773.437500,15812.500000,-2.395,0.544,-75.328 
-156.250000,-710.937500,16093.750000,-2.390,0.544,-75.328 
0.000000,-671.875000,16054.687500,-2.384,0.538,-75.328 
-125.000000,-695.312500,16007.812500,-2.384,0.544,-75.328 
-187.500000,-695.312500,15804.687500,-2.395,0.544,-75.328 
-23.437500,-687.500000,15773.437500,-2.390,0.544,-75.328 
-148.437500,-679.687500,16195.312500,-2.384,0.544,-75.328 
-164.062500,-750.000000,16179.687500,-2.384,0.544,-75.328 
-148.437500,-734.375000,15671.875000,-2.390,0.544,-75.328 
-226.562500,-632.812500,15898.437500,-2.390,0.544,-75.328 
-164.062500,-695.312500,16289.062500,-2.384,0.544,-75.328 
-54.687500,-765.625000,16062.500000,-2.390,0.538,-75.328 
-218.750000,-664.062500,15632.812500,-2.390,0.544,-75.328 
-226.562500,-703.125000,16132.812500,-2.390,0.544,-75.328 
-117.187500,-640.625000,16109.375000,-2.384,0.544,-75.328 
-54.687500,-687.500000,16031.250000,-2.384,0.538,-75.328 
-242.187500,-710.937500,15867.187500,-2.390,0.544,-75.328 
-125.000000,-679.687500,15921.875000,-2.395,0.544,-75.328 
-15.625000,-632.812500,16046.875000,-2.384,0.544,-75.328 
-195.312500,-687.500000,16164.062500,-2.384,0.544,-75.328 
-125.000000,-726.562500,15851.562500,-2.395,0.544,-75.328 
-156.250000,-679.687500,15718.750000,-2.390,0.544,-75.328 
-226.562500,-632.812500,16242.187500,-2.384,0.544,-75.328 
-140.625000,-648.437500,16125.000000,-2.390,0.544,-75.328 
-132.812500,-710.937500,15765.625000,-2.395,0.544,-75.328 
-335.937500,-671.875000,15843.750000,-2.390,0.549,-75.328 
-140.625000,-632.812500,16289.062500,-2.384,0.544,-75.328 
-15.625000,-656.250000,16023.437500,-2.384,0.544,-75.328 
-195.312500,-734.375000,15835.937500,-2.395,0.544,-75.328 
-148.437500,-703.125000,15867.187500,-2.390,0.544,-75.328 
-78.125000,-664.062500,15875.000000,-2.384,0.544,-75.328 
-125.000000,-648.437500,16148.437500,-2.384,0.544,-75.328 
-210.937500,-742.187500,15890.625000,-2.395,0.544,-75.328 
-70.312500,-703.125000,15734.375000,-2.390,0.544,-75.328 
-203.125000,-609.375000,15960.937500,-2.384,0.544,-75.328 
-101.562500,-734.375000,16390.625000,-2.390,0.538,-75.328 
-93.750000,-718.750000,15734.375000,-2.395,0.538,-75.328 
-210.937500,-617.187500,15734.375000,-2.390,0.544,-75.328 
-234.375000,-648.437500,16273.437500,-2.384,0.538,-75.328 
-15.625000,-664.062500,16101.562500,-2.384,0.538,-75.328 
-31.250000,-687.500000,15789.062500,-2.395,0.538,-75.328 
-304.687500,-750.000000,15945.312500,-2.390,0.544,-75.328 
-117.187500,-625.000000,16023.437500,-2.384,0.538,-75.328 
-39.062500,-640.625000,16171.875000,-2.384,0.538,-75.328 
-242.187500,-703.125000,16101.562500,-2.390,0.544,-75.328 
-171.875000,-687.500000,15757.812500,-2.390,0.538,-75.328 
-23.437500,-640.625000,15921.875000,-2.379,0.538,-75.328 
-195.312500,-671.875000,16335.937500,-2.384,0.538,-75.328 
-117.187500,-710.937500,15945.312500,-2.390,0.538,-75.328 
-117.187500,-726.562500,15554.687500,-2.390,0.544,-75.328 
-226.562500,-679.687500,16031.250000,-2.379,0.544,-75.328 
-85.937500,-656.250000,16289.062500,-2.379,0.538,-75.328 
-54.687500,-757.812500,15773.437500,-2.390,0.538,-75.328 
-273.437500,-734.375000,15812.500000,-2.390,0.544,-75.328 
-164.062500,-687.500000,16039.062500,-2.379,0.538,-75.328 
-46.875000,-648.437500,16046.875000,-2.379,0.533,-75.328 
-125.000000,-710.937500,16132.812500,-2.390,0.538,-75.328 
-179.687500,-742.187500,15773.437500,-2.390,0.538,-75.328 
-101.562500,-664.062500,15820.312500,-2.384,0.538,-75.328 
-164.062500,-617.187500,16335.937500,-2.379,0.538,-75.328 
-179.687500,-710.937500,16179.687500,-2.390,0.538,-75.328 
-140.625000,-695.312500,15781.250000,-2.390,0.538,-75.328 
-242.187500,-664.062500,15898.437500,-2.384,0.538,-75.328 
-140.625000,-664.062500,16367.187500,-2.379,0.538,-75.328 
-70.312500,-625.000000,15953.125000,-2.384,0.538,-75.328 
-179.687500,-671.875000,15671.875000,-2.390,0.544,-75.328 
-218.750000,-664.062500,15976.562500,-2.384,0.538,-75.328 
-54.687500,-640.625000,16039.062500,-2.379,0.538,-75.328 
-70.312500,-656.250000,16007.812500,-2.384,0.538,-75.328 
-257.812500,-734.375000,15828.125000,-2.390,0.544,-75.328 
-171.875000,-632.812500,15765.625000,-2.384,0.538,-75.328 
-85.937500,-632.812500,16398.437500,-2.373,0.538,-75.328 
-195.312500,-656.250000,16281.250000,-2.379,0.544,-75.328 
-54.687500,-742.187500,15625.000000,-2.390,0.538,-75.328 
-203.125000,-617.187500,15929.687500,-2.384,0.544,-75.328 
-93.750000,-718.750000,16476.562500,-2.373,0.538,-75.328 
-15.625000,-718.750000,15781.250000,-2.379,0.538,-75.328 
-242.187500,-703.125000,15742.187500,-2.384,0.538,-75.328 
-203.125000,-671.875000,16046.875000,-2.379,0.544,-75.328 
0.000000,-640.625000,16171.875000,-2.373,0.538,-75.328 
-15.625000,-664.062500,16062.500000,-2.373,0.538,-75.328 
-265.625000,-757.812500,15898.437500,-2.384,0.544,-75.328 
-187.500000,-750.000000,15851.562500,-2.384,0.544,-75.328 
-7.812500,-625.000000,15945.312500,-2.373,0.538,-75.328 
-125.000000,-664.062500,16281.250000,-2.379,0.544,-75.328 
-132.812500,-765.625000,15875.000000,-2.384,0.544,-75.328 
-234.375000,-656.250000,15929.687500,-2.384,0.544,-75.328 
-187.500000,-671.875000,16335.937500,-2.373,0.544,-75.328 
-93.750000,-671.875000,16101.562500,-2.379,0.538,-75.328 
-195.312500,-671.875000,15617.187500,-2.384,0.544,-75.328 
-203.125000,-671.875000,15945.312500,-2.384,0.549,-75.328 
-125.000000,-640.625000,16273.437500,-2.379,0.544,-75.328 
-39.062500,-648.437500,15898.437500,-2.379,0.544,-75.328 
-296.875000,-726.562500,15835.937500,-2.384,0.544,-75.328 
-203.125000,-718.750000,15976.562500,-2.384,0.549,-75.328 
-70.312500,-601.562500,16007.812500,-2.373,0.544,-75.328 
-234.375000,-664.062500,16312.500000,-2.373,0.544,-75.328 
-257.812500,-718.750000,15867.187500,-2.384,0.549,-75.328 
-156.250000,-648.437500,15742.187500,-2.384,0.544,-75.328 
-210.937500,-617.187500,16320.312500,-2.373,0.544,-75.328 
-187.500000,-687.500000,16328.125000,-2.379,0.544,-75.328 
-101.562500,-710.937500,15765.625000,-2.384,0.544,-75.328 
-234.375000,-664.062500,15898.437500,-2.384,0.544,-75.328 
-218.750000,-664.062500,16328.125000,-2.379,0.544,-75.328 
-31.250000,-671.875000,15984.375000,-2.373,0.544,-75.328 
-156.250000,-757.812500,15914.062500,-2.384,0.544,-75.328 
-250.000000,-695.312500,15898.437500,-2.384,0.549,-75.328 
-70.312500,-656.250000,16007.812500,-2.373,0.544,-75.328 
-93.750000,-671.875000,16203.125000,-2.373,0.544,-75.328 
-203.125000,-742.187500,15906.250000,-2.379,0.549,-75.328 
-117.187500,-687.500000,15851.562500,-2.384,0.549,-75.328 
-195.312500,-632.812500,16015.625000,-2.373,0.549,-75.328 
-203.125000,-695.312500,16343.750000,-2.373,0.549,-75.328 
-117.187500,-695.312500,15945.312500,-2.379,0.549,-75.328 
-234.375000,-664.062500,15640.625000,-2.384,0.549,-75.328 
-257.812500,-632.812500,16296.875000,-2.373,0.549,-75.328 
-93.750000,-703.125000,16250.000000,-2.373,0.544,-75.328 
-140.625000,-687.500000,15828.125000,-2.379,0.549,-75.328 
-289.062500,-710.937500,15976.562500,-2.379,0.549,-75.328 
-148.437500,-710.937500,16109.375000,-2.373,0.544,-75.328 
-62.500000,-632.812500,16179.687500,-2.373,0.544,-75.328 
-187.500000,-734.375000,16000.000000,-2.379,0.549,-75.328 
-164.062500,-750.000000,15859.375000,-2.379,0.549,-75.328 
-15.625000,-632.812500,15851.562500,-2.373,0.544,-75.328 
-109.375000,-687.500000,16320.312500,-2.373,0.544,-75.328 
-156.250000,-742.187500,16039.062500,-2.379,0.544,-75.328 
-156.250000,-671.875000,15671.875000,-2.379,0.544,-75.328 
-156.250000,-671.875000,16101.562500,-2.373,0.549,-75.328 
-195.312500,-664.062500,16453.125000,-2.373,0.544,-75.328 
-54.687500,-695.312500,15906.250000,-2.379,0.544,-75.328 
-250.000000,-703.125000,15851.562500,-2.379,0.549,-75.328 
-273.437500,-640.625000,16101.562500,-2.373,0.544,-75.328 
0.000000,-632.812500,16015.625000,-2.373,0.544,-75.328 
-140.625000,-710.937500,15960.937500,-2.379,0.549,-75.328 
-265.625000,-742.187500,15765.625000,-2.379,0.549,-75.328 
-54.687500,-632.812500,15835.937500,-2.373,0.544,-75.328 
-85.937500,-632.812500,16179.687500,-2.368,0.544,-75.328 
-179.687500,-734.375000,16164.062500,-2.373,0.544,-75.328 
-164.062500,-726.562500,15734.375000,-2.379,0.544,-75.328 
-171.875000,-617.187500,15812.500000,-2.368,0.549,-75.328 
-171.875000,-632.812500,16343.750000,-2.368,0.544,-75.328 
-117.187500,-710.937500,15984.375000,-2.373,0.544,-75.328 
-179.687500,-710.937500,15750.000000,-2.373,0.549,-75.328 
-351.562500,-640.625000,15984.375000,-2.368,0.549,-75.328 
-93.750000,-617.187500,16281.250000,-2.362,0.544,-75.328 
-62.500000,-687.500000,16078.125000,-2.373,0.544,-75.328 
-296.875000,-718.750000,15984.375000,-2.379,0.549,-75.328 
-218.750000,-695.312500,15992.187500,-2.368,0.544,-75.328 
-62.500000,-648.437500,16171.875000,-2.362,0.544,-75.328 
-156.250000,-718.750000,16304.687500,-2.373,0.544,-75.328 
-140.625000,-726.562500,15882.812500,-2.379,0.544,-75.328 
-101.562500,-710.937500,15679.687500,-2.373,0.544,-75.328 
-179.687500,-664.062500,16265.625000,-2.368,0.544,-75.328 
-93.750000,-695.312500,16210.937500,-2.368,0.544,-75.328 
-62.500000,-781.250000,15703.125000,-2.379,0.544,-75.328 
-210.937500,-734.375000,15851.562500,-2.373,0.549,-75.328 
-148.437500,-679.687500,16289.062500,-2.362,0.544,-75.328 
-54.687500,-664.062500,16031.250000,-2.368,0.544,-75.328 
-210.937500,-734.375000,15906.250000,-2.373,0.549,-75.328 
-265.625000,-687.500000,15914.062500,-2.373,0.549,-75.328 
-78.125000,-625.000000,16015.625000,-2.362,0.544,-75.328 
-148.437500,-632.812500,16140.625000,-2.368,0.544,-75.328 
-250.000000,-742.187500,16015.625000,-2.373,0.544,-75.328 
-179.687500,-718.750000,15804.687500,-2.373,0.544,-75.328 
-195.312500,-617.187500,16023.437500,-2.368,0.544,-75.328 
-195.312500,-671.875000,16437.500000,-2.368,0.544,-75.328 
-109.375000,-710.937500,15937.500000,-2.373,0.544,-75.328 
-187.500000,-687.500000,15742.187500,-2.373,0.544,-75.328 
-226.562500,-695.312500,16281.250000,-2.368,0.544,-75.328 
-46.875000,-695.312500,16125.000000,-2.368,0.544,-75.328 
-132.812500,-687.500000,15820.312500,-2.379,0.544,-75.328 
-296.875000,-718.750000,16000.000000,-2.379,0.549,-75.328 
-125.000000,-664.062500,16171.875000,-2.368,0.544,-75.328 
-156.250000,-617.187500,16078.125000,-2.373,0.544,-75.328 
-210.937500,-703.125000,16171.875000,-2.379,0.549,-75.328 
-62.500000,-671.875000,15781.250000,-2.379,0.549,-75.328 
-117.187500,-609.375000,16046.875000,-2.368,0.549,-75.328 
-156.250000,-695.312500,16265.625000,-2.368,0.549,-75.328 
-70.312500,-695.312500,15695.312500,-2.379,0.549,-75.328 
-210.937500,-632.812500,15718.750000,-2.379,0.549,-75.328 
-195.312500,-656.250000,16335.937500,-2.373,0.549,-75.328 
-70.312500,-687.500000,16101.562500,-2.373,0.549,-75.328 
-140.625000,-695.312500,15734.375000,-2.379,0.544,-75.328 
-375.000000,-679.687500,15953.125000,-2.379,0.555,-75.328 
-109.375000,-656.250000,16203.125000,-2.373,0.549,-75.328 
-54.687500,-648.437500,16085.937500,-2.373,0.549,-75.328 
-296.875000,-750.000000,15960.937500,-2.379,0.549,-75.328 
-179.687500,-664.062500,15859.375000,-2.384,0.555,-75.328 
-31.250000,-656.250000,16062.500000,-2.373,0.549,-75.328 
-179.687500,-695.312500,16265.625000,-2.368,0.549,-75.328 
-140.625000,-710.937500,15859.375000,-2.379,0.549,-75.328 
-148.437500,-710.937500,15679.687500,-2.379,0.549,-75.328 
-226.562500,-632.812500,16039.062500,-2.373,0.555,-75.328 
-101.562500,-703.125000,16296.875000,-2.373,0.549,-75.328 
-62.500000,-734.375000,15710.937500,-2.379,0.549,-75.328 
-265.625000,-718.750000,15796.875000,-2.384,0.555,-75.328 
-203.125000,-640.625000,16179.687500,-2.373,0.555,-75.328 
